p_expressed	max_monomer_counts	max_mRNA_counts	cistron_idx	gene_name	cistron_name	protein_name
0.75	3	2	719	EG10732	EG10732_RNA	PHOQ-MONOMER
0.75	72	3	722	EG10735	EG10735_RNA	EG10735-MONOMER
0.75	88	3	725	EG10738	EG10738_RNA	MONOMER0-341
0.25	26	1	749	EG10762	EG10762_RNA	EG10762-MONOMER
0.25	23	1	758	EG10771	EG10771_RNA	PROV-MONOMER
0.5	72	2	762	EG10775	EG10775_RNA	PSD-MONOMER
0.5	146	2	763	EG10776	EG10776_RNA	EG10776-MONOMER
0.5	161	2	764	EG10777	EG10777_RNA	EG10777-MONOMER
0.5	129	2	765	EG10778	EG10778_RNA	EG10778-MONOMER
0.75	2025	1	768	EG10781	EG10781_RNA	PHOSPHASERSYN-MONOMER
0.75	197	1	770	EG10783	EG10783_RNA	PSTB-MONOMER
0.75	568	3	771	EG10784	EG10784_RNA	PSTC-MONOMER
0.25	54	1	772	EG10785	EG10785_RNA	EG10785-MONOMER
0.5	67	1	787	EG10800	EG10800_RNA	PD00219
0.75	204	1	788	EG10801	EG10801_RNA	PUTA-MONOMER
0.25	128	1	800	EG10813	EG10813_RNA	EG10813-MONOMER
0.5	133	1	802	EG10815	EG10815_RNA	RBSB-MONOMER
